1828750:  W.. 0x16b72
1831625:  R.v 0x0336c
1833500:  Rbv 0x0336d
1835375:  Rbv 0x0336e
1837250:  Rbv 0x0336f
1841000:  R.. 0x0d674
1843875:  R.. 0x1877c
1846625:  R.v 0x03370
1848500:  Rbv 0x03371
1850375:  Rbv 0x03372
1852250:  Rbv 0x03373
1856000:  R.. 0x0d678
1858875:  W.. 0x1c77c
1861625:  R.v 0x03374
1863500:  Rbv 0x03375
1865375:  Rbv 0x03376
1867250:  Rbv 0x03377
1871000:  R.. 0x0d67c
1873875:  R.. 0x1f1ff
1876625:  R.v 0x03378
1878500:  Rbv 0x03379
1880375:  Rbv 0x0337a
1882250:  Rbv 0x0337b
1886125:  R.. 0x1ffff
1888875:  W.. 0x16b73
1891750:  R.v 0x0337c
1893625:  Rbv 0x0337d
1895500:  Rbv 0x0337e
1897375:  Rbv 0x0337f
1901125:  R.. 0x0d600
1903000:  Rb. 0x0d601
1904875:  Rb. 0x0d602
1907125:  R.. 0x0d600
1909000:  Rb. 0x0d601
1910875:  Rb. 0x0d602
1913250:  W.. 0x16b74
1916125:  R.. 0x0d806
1918000:  Rb. 0x0d816
1920750:  R.. 0x0d406
1923625:  R.. 0x0d806
1925500:  Rb. 0x0d816
1928250:  R.. 0x0d406
1931125:  R.. 0x0d600
1933000:  Rb. 0x0d601
1934875:  Rb. 0x0d602
1937125:  R.. 0x0d600
1939000:  Rb. 0x0d601
1940875:  Rb. 0x0d602
1944250:  W.. 0x16b75
1948000:  R.. 0x0d806
1949875:  Rb. 0x0d816
1952625:  R.. 0x0d406
1955500:  R.. 0x0d806
1957375:  Rb. 0x0d816
1960125:  R.. 0x0d406
1963000:  R.. 0x0d600
1964875:  Rb. 0x0d601
1966750:  Rb. 0x0d602
1969000:  R.. 0x0d600
1970875:  Rb. 0x0d601
1972750:  Rb. 0x0d602
1975125:  W.. 0x16b76
1978000:  R.. 0x0d806
1979875:  Rb. 0x0d816
1982625:  R.. 0x0d406
1985375:  R.. 0x0d806
1987250:  Rb. 0x0d816
1990125:  R.. 0x0d406
1992875:  R.. 0x0d600
1994750:  Rb. 0x0d601
1996625:  Rb. 0x0d602
1999000:  R.. 0x0d600
2000875:  Rb. 0x0d601
2002750:  Rb. 0x0d602
2005125:  W.. 0x16b77
2007875:  R.. 0x0d806
2009750:  Rb. 0x0d816
2012625:  R.. 0x0d406
2015375:  R.. 0x0d806
2017250:  Rb. 0x0d816
2020125:  R.. 0x0d406
2037875:  W.. 0x16b78
2041625:  R.. 0x1877d
2047250:  R.. 0x0d600
2052875:  R.. 0x1ffff
2054750:  Rb. 0x1ffff
2056625:  Rb. 0x1ffff
2058500:  Rb. 0x1ffff
2062250:  R.. 0x0d604
2065125:  W.. 0x1c77d
2067875:  R.v 0x03380
2069750:  Rbv 0x03381
2071625:  Rbv 0x03382
2073500:  Rbv 0x03383
2077250:  R.. 0x0d608
2080000:  W.. 0x16b79
2082875:  R.v 0x03384
2084750:  Rbv 0x03385
2086625:  Rbv 0x03386
2088500:  Rbv 0x03387
2092250:  R.. 0x0d60c
2095000:  R.. 0x0f2ff
2097875:  R.v 0x03388
2099750:  Rbv 0x03389
2101625:  Rbv 0x0338a
2103500:  Rbv 0x0338b
2107250:  R.. 0x0d610
2110000:  W.. 0x16b7a
2112875:  R.v 0x0338c
2114750:  Rbv 0x0338d
2116625:  Rbv 0x0338e
2118500:  Rbv 0x0338f
2122250:  R.. 0x0d614
2125000:  R.. 0x1877e
2127875:  R.v 0x03390
2129750:  Rbv 0x03391
2131625:  Rbv 0x03392
2133500:  Rbv 0x03393
2137250:  R.. 0x0d618
2140000:  W.. 0x16b7b
2142875:  R.v 0x03394
2144750:  Rbv 0x03395
