2959125:  R.. 0x1c9ff
3019125:  R.. 0x0caff
3079125:  R.. 0x1cbff
3139250:  R.. 0x0ccff
3199250:  R.. 0x1cdff
3225625:  R.. 0x1ffff
3229375:  R.. 0x1ffff
3233125:  R.. 0x1ffff
3236875:  R.. 0x1ffff
3240625:  R.. 0x14000
3420500:  R.. 0x0ceff
3480500:  R.. 0x1cfff
3540500:  R.. 0x0d0ff
3600625:  R.. 0x1d1ff
3660625:  R.. 0x0d2ff
3720750:  R.. 0x1d3ff
3780625:  R.. 0x0d4ff
3840625:  R.. 0x1d5ff
3866875:  R.. 0x1ffff
3870625:  R.. 0x1ffff
3874375:  R.. 0x1ffff
3878125:  R.. 0x1ffff
4062000:  R.. 0x0d6ff
