1255625:  Rbv 0x00cf3
1259375:  R.. 0x0d678
1265000:  R.v 0x00cf4
1266875:  Rbv 0x00cf5
1268750:  Rbv 0x00cf6
1270625:  Rbv 0x00cf7
1274375:  R.. 0x0d67c
1277125:  R.. 0x0deff
1280000:  R.v 0x00cf8
1281875:  Rbv 0x00cf9
1283750:  Rbv 0x00cfa
1285625:  Rbv 0x00cfb
1289375:  R.. 0x1ffff
1295000:  R.v 0x00cfc
1296875:  Rbv 0x00cfd
1298750:  Rbv 0x00cfe
1300625:  Rbv 0x00cff
1304250:  R.. 0x0d644
1306125:  Rb. 0x0d645
1308000:  Rb. 0x0d646
1310375:  R.. 0x0d600
1312250:  Rb. 0x0d601
1314125:  Rb. 0x0d602
1316500:  R.. 0x157ca
1319250:  R.. 0x0da29
1321125:  Rb. 0x0da39
1324000:  R.. 0x0d519
1326750:  R.. 0x0d809
1328625:  Rb. 0x0d819
1331500:  R.. 0x0d409
1335250:  R.. 0x0d600
1337625:  Rb. 0x0d601
1339875:  Rb. 0x0d602
1342250:  R.. 0x0d600
1344125:  Rb. 0x0d601
1346000:  Rb. 0x0d602
1348375:  R.. 0x157cb
1351125:  R.. 0x0d809
1353000:  Rb. 0x0d819
1355875:  R.. 0x0d409
1358625:  R.. 0x0d809
1360500:  Rb. 0x0d819
1363375:  R.. 0x0d409
1366125:  R.. 0x0d600
1368000:  Rb. 0x0d601
1369875:  Rb. 0x0d602
1372250:  R.. 0x0d600
1374125:  Rb. 0x0d601
1376000:  Rb. 0x0d602
1381125:  R.. 0x0d809
1383000:  Rb. 0x0d819
1385875:  R.. 0x0d409
1388625:  R.. 0x0d809
1390500:  Rb. 0x0d819
1393375:  R.. 0x0d409
1396125:  R.. 0x0d600
1398000:  Rb. 0x0d601
1399875:  Rb. 0x0d602
1402250:  R.. 0x0d600
1404125:  Rb. 0x0d601
1406000:  Rb. 0x0d602
1408375:  R.. 0x157cc
1411125:  R.. 0x0d809
1413000:  Rb. 0x0d819
1415875:  R.. 0x0d409
1418625:  R.. 0x0d809
1420500:  Rb. 0x0d819
1423375:  R.. 0x0d409
1450625:  R.. 0x0d600
1453375:  R.. 0x157cd
1456250:  R.. 0x1ffff
1458125:  Rb. 0x1ffff
1460000:  Rb. 0x1ffff
1461875:  Rb. 0x1ffff
1465625:  R.. 0x0d604
1471250:  R.v 0x00d00
1473125:  Rbv 0x00d01
1475000:  Rbv 0x00d02
1476875:  Rbv 0x00d03
1480625:  R.. 0x0d608
1483500:  R.. 0x157ce
1486250:  R.v 0x00d04
1488125:  Rbv 0x00d05
1490000:  Rbv 0x00d06
1491875:  Rbv 0x00d07
1495625:  R.. 0x0d60c
1498500:  R.. 0x1dfff
1501250:  R.v 0x00d08
1503125:  Rbv 0x00d09
1505000:  Rbv 0x00d0a
1506875:  Rbv 0x00d0b
1510625:  R.. 0x0d610
1516250:  R.v 0x00d0c
1518250:  Rbv 0x00d0d
1520125:  Rbv 0x00d0e
1522000:  Rbv 0x00d0f
1525750:  R.. 0x0d614
1528500:  R.. 0x157cf
1531375:  R.v 0x00d10
1533250:  Rbv 0x00d11
1535125:  Rbv 0x00d12
1537000:  Rbv 0x00d13
1540750:  R.. 0x0d618
1546375:  R.v 0x00d14
1548250:  Rbv 0x00d15
1550125:  Rbv 0x00d16
1552000:  Rbv 0x00d17
1555750:  R.. 0x0d61c
1558500:  R.. 0x0e0ff
1561375:  R.v 0x00d18
1563250:  Rbv 0x00d19
1565125:  Rbv 0x00d1a
1567000:  Rbv 0x00d1b
1570750:  R.. 0x0d620
1573625:  R.. 0x157d0
1576375:  R.v 0x00d1c
1578250:  Rbv 0x00d1d
1580125:  Rbv 0x00d1e
1582000:  Rbv 0x00d1f
1585750:  R.. 0x0d624
1588625:  R.. 0x157d1
1591375:  R.v 0x00d20
1593250:  Rbv 0x00d21
1595125:  Rbv 0x00d22
1597000:  Rbv 0x00d23
1600750:  R.. 0x0d628
1606375:  R.v 0x00d24
1608250:  Rbv 0x00d25
1610125:  Rbv 0x00d26
1612000:  Rbv 0x00d27
1615750:  R.. 0x0d62c
1618625:  R.. 0x1e1ff
1621375:  R.v 0x00d28
1623250:  Rbv 0x00d29
1625125:  Rbv 0x00d2a
1627000:  Rbv 0x00d2b
1630750:  R.. 0x0d630
1633625:  R.. 0x157d2
1636375:  R.v 0x00d2c
1638250:  Rbv 0x00d2d
1640125:  Rbv 0x00d2e
1642000:  Rbv 0x00d2f
