# Reconstructed CPU request cycles (fit_2026.cc --trellis).
# Per capture: phi is the pin delay used, eps the per-edge tolerance.
# edge  t2 (/CSx rise, VDP cycles)  T (cycle the arbiter saw it)  slot (RAS granted)  dev
# dev = T - floor(t2 + phi), non-zero only for an edge that the
# tolerance let tip to the neighbouring cycle. Only captures whose
# reconstruction reproduced the .txt exactly are listed.

capture scr5-dispOff-stop-rdwrCpu-1g.txt  mode dispOff  key v7_n16_o0,0,0_q1_t2:-1
  phi 11.03026  eps 0.00000  edges 115  grants 113  pre-capture request no
 109   9371.505    9382     9404     0
 110   9443.222    9454     9476     0
 111   9514.672    9525     9552     0
 112   9586.123    9597     9616     0
 113   9657.573    9668     9688     0
 114   9729.291    9740     9756     0  outside

capture scr5-dispOff-stop-rdwrCpu-5g.txt  mode dispOff  key v7_n16_o0,0,0_q1_t2:-1
  phi 11.02392  eps 0.12500  edges 115  grants 114  pre-capture request no
   0    329.599     340      356     0  outside
   1    401.009     412      428     0
   2    472.726     483      500     0
   3    544.177     555      572     0
   4    615.894     626      644     0
   5    687.344     698      716     0
   6    758.928     769      788     0
   7    830.244     841      860     0
   8    901.961     912      932     0
   9    973.412     984     1004     0
  10   1045.129    1056     1076     0
  11   1116.579    1127     1148     0
  12   1188.029    1199     1220     0
  13   1259.480    1270     1292     0
  14   1331.196    1342     1360     0
  15   1402.647    1413     1432     0
  16   1474.231    1485     1532     0
  17   1545.547    1556     1572     0
  18   1617.264    1628     1644     0
  19   1688.715    1699     1716     0
  20   1760.432    1771     1788     0
  21   1831.882    1842     1860     0
  22   1903.466    1914     1932     0
  23   1974.782    1985     2004     0
  24   2046.499    2057     2076     0
  25   2117.950    2128     2148     0
  26   2189.667    2200     2220     0
  27   2261.117    2272     2300     0
  28   2511.460    2522     2540     0
  29   2582.910    2593     2636     0
  30   2654.627    2665     2684     0
  31   2726.077    2736     2752    -1
  32   2797.528    2808     2824     0
  33   2868.978    2880     2900     0
  34   2940.695    2951     2972     0
  35   3012.145    3023     3044     0
  36   3083.730    3094     3116     0
  37   3155.046    3166     3188     0
  38   3226.763    3237     3260     0
  39   3298.213    3309     3332     0
  40   3369.930    3380     3396     0
  41   3441.380    3452     3468     0
  42   3512.965    3523     3540     0
  43   3584.281    3595     3612     0
  44   3655.998    3667     3684     0
  45   3727.448    3738     3756     0
  46   3799.165    3810     3828     0
